iter	Passed	Remaining
469	729	822
470	731	821
471	732	819
472	733	817
473	735	815
474	736	813
475	737	811
476	738	809
477	742	810
478	743	808
479	744	807
480	746	805
481	747	802
482	748	800
483	749	798
484	750	796
485	751	794
486	752	792
487	753	790
488	756	790
489	758	789
490	759	787
491	760	785
492	762	783
493	763	781
494	764	779
495	765	777
496	766	775
497	767	773
498	768	771
499	771	771
500	773	770
501	775	768
502	776	767
503	777	765
504	779	763
505	780	762
506	782	760
507	783	758
508	784	757
509	786	755
510	788	754
511	789	752
512	791	751
513	792	749
514	794	747
515	795	746
516	796	744
517	797	742
518	798	740
519	802	740
520	804	739
521	805	737
522	806	735
523	807	733
524	809	732
525	810	730
526	811	728
527	812	726
528	813	724
529	816	723
530	817	722
531	819	720
532	820	719
533	822	717
534	823	715
535	824	714
536	826	712
537	827	710
538	828	708
539	830	707
540	833	707
541	834	705
542	835	703
543	836	701
544	837	699
545	838	697
546	839	695
547	840	693
548	841	691
549	843	689
550	844	687
551	847	687
552	848	686
553	849	684
554	850	682
555	851	680
556	852	678
557	853	676
558	854	674
559	855	672
560	856	670
561	857	668
562	858	666
563	859	664
564	860	662
565	861	660
566	862	658
567	864	657
568	866	656
569	867	654
570	868	652
571	870	651
572	871	649
573	872	647
574	873	645
575	873	643
576	877	643
577	878	641
578	879	639
579	880	637
580	881	635
581	882	633
582	883	631
583	884	630
584	885	628
585	887	626
586	888	625
587	891	624
588	893	623
589	894	621
590	898	622
591	900	620
592	902	619
593	903	617
594	908	618
595	910	616
596	911	615
597	913	614
598	915	612
599	916	610
600	917	609
601	919	607
602	921	606
603	923	605
604	924	603
605	926	602
606	927	600
607	929	598
608	930	597
609	931	595
610	932	593
611	933	591
612	934	589
613	936	588
614	938	587
615	939	585
616	941	584
617	942	582
618	943	580
619	944	578
620	945	577
621	946	575
622	947	573
623	949	571
624	951	570
625	952	569
626	954	567
627	955	566
628	957	564
629	958	563
630	959	561
631	960	559
632	962	557
633	963	556
634	964	554
635	967	553
636	968	552
637	970	550
638	971	548
639	972	546
640	973	545
641	974	543
642	975	541
643	976	539
644	978	538
645	979	536
646	981	535
647	983	534
648	984	532
649	985	530
650	987	529
651	988	527
652	989	525
653	989	523
654	991	522
655	992	520
656	993	518
657	995	517
658	997	516
659	999	514
660	1000	513
661	1001	511
662	1002	509
663	1004	508
664	1005	506
665	1006	504
666	1007	503
667	1009	501
668	1011	500
669	1012	498
670	1015	497
671	1016	496
672	1018	494
673	1019	493
674	1020	491
675	1022	489
676	1024	488
677	1026	487
678	1027	485
679	1029	484
680	1031	483
681	1033	481
682	1035	480
683	1038	479
684	1039	478
685	1042	477
686	1043	475
687	1044	473
688	1046	472
689	1047	470
690	1048	468
691	1049	467
692	1051	465
693	1052	463
694	1053	462
695	1055	461
696	1057	459
697	1058	458
698	1060	456
699	1061	455
700	1063	453
701	1064	452
702	1065	450
703	1067	448
704	1068	447
705	1070	445
706	1072	444
707	1073	442
708	1075	441
709	1076	439
710	1077	438
711	1078	436
712	1080	434
713	1081	433
714	1084	432
715	1086	431
716	1088	429
717	1090	428
718	1091	426
719	1093	425
720	1095	423
721	1096	422
722	1097	420
723	1101	419
724	1102	418
725	1103	416
726	1105	415
727	1106	413
728	1107	411
729	1109	410
730	1110	408
731	1111	406
732	1113	405
733	1114	404
734	1116	402
735	1117	400
736	1119	399
737	1120	397
738	1122	396
739	1123	394
740	1124	392
741	1125	391
742	1126	389
743	1128	388
744	1130	386
745	1131	385
746	1133	383
747	1134	382
748	1135	380
749	1136	378
750	1137	377
751	1138	375
752	1139	373
753	1141	372
754	1144	371
755	1145	369
756	1146	368
757	1148	366
758	1149	365
759	1151	363
760	1152	361
761	1153	360
762	1154	358
763	1156	357
764	1160	356
765	1162	355
